coordinates,distance_m,duration_s,status
"('59.44119, 24.71317', '59.44019, 24.70737')",417,64,OK
"('59.43605, 24.71172', '59.44019, 24.70737')",522,56,OK
"('59.45813, 24.82979', '59.45893, 24.83552')",336,33,OK
"('59.38219, 24.63807', '59.37893, 24.63641')",375,31,OK
"('59.42296, 24.79297', '59.42145, 24.80205')",695,95,OK
"('59.44684, 24.69106', '59.44395, 24.69468')",479,76,OK
"('59.43878, 24.85124', '59.44134, 24.86183')",786,62,OK
"('59.37759, 24.68654', '59.37947, 24.6952')",533,43,OK
"('59.4427, 24.76475', '59.43555, 24.75897')",1182,275,OK
"('59.36602, 24.6438', '59.36775, 24.65187')",495,45,OK
"('59.41553, 24.65547', '59.41328, 24.65295')",308,37,OK
"('59.40993, 24.67364', '59.41168, 24.66345')",634,76,OK
"('59.42997, 24.78653', '59.43315, 24.77774')",2229,386,OK
"('59.45782, 24.82379', '59.45813, 24.82979')",346,33,OK
"('59.42812, 24.79209', '59.42997, 24.78653')",377,66,OK
"('59.49181, 24.82975', '59.48949, 24.83548')",415,28,OK
"('59.47109, 24.8357', '59.47406, 24.83858')",453,44,OK
"('59.40614, 24.6519', '59.4044, 24.65646')",373,79,OK
"('59.4374, 24.75819', '59.43831, 24.75407')",1776,358,OK
"('59.42747, 24.72195', '59.425, 24.72978')",686,82,OK
"('59.43398, 24.76995', '59.43307, 24.77711')",417,50,OK
"('59.4105, 24.73147', '59.41419, 24.73841')",568,74,OK
"('59.41328, 24.65295', '59.41122, 24.64768')",392,43,OK
"('59.41495, 24.73992', '59.42463, 24.74269')",1092,104,OK
"('59.44347, 24.75011', '59.43762, 24.75321')",729,122,OK
"('59.47251, 24.88414', '59.47129, 24.87693')",430,36,OK
"('59.43925, 24.8747', '59.43554, 24.86399')",815,117,OK
"('59.43238, 24.81849', '59.43211, 24.81311')",305,32,OK
"('59.43723, 24.75838', '59.43843, 24.77141')",755,110,OK
"('59.44355, 24.80015', '59.44286, 24.78875')",666,100,OK
"('59.42686, 24.80122', '59.43011, 24.80735')",508,57,OK
"('59.40921, 24.73565', '59.38049, 24.69884')",5103,489,OK
"('59.43865, 24.78353', '59.44012, 24.78559')",244,41,OK
"('59.46116, 24.66765', '59.46045, 24.67007')",158,22,OK
"('59.44684, 24.69106', '59.4441, 24.68813')",501,89,OK
"('59.45081, 24.70806', '59.45005, 24.71431')",585,91,OK
"('59.43299, 24.74721', '59.40773, 24.70305')",4121,444,OK
"('59.4941, 24.89382', '59.49805, 24.90269')",691,46,OK
"('59.39423, 24.64384', '59.38975, 24.64185')",511,42,OK
