Kuupäev;Kask;Lepp;Sarapuu;Kõrrelised;Puju;Kadakas;Malts;Alternaria
"2017-11-08 00:00";;;;;;;;
"2017-11-07 00:00";;;;;;;;
"2017-11-06 00:00";;;;;;;;
"2017-11-05 00:00";;;;;;;;
"2017-11-04 00:00";;;;;;;;
"2017-11-03 00:00";;;;;;;;
"2017-11-02 00:00";;;;;;;;
"2017-11-01 00:00";;;;;;;;
"2017-10-31 00:00";;;;;;;;
"2017-10-30 00:00";;;;;;;;
"2017-10-29 01:00";;;;;;;;
"2017-10-28 01:00";;;;;;;;
"2017-10-27 01:00";;;;;;;;
"2017-10-26 01:00";0;0;0;0;0;0;0;1
"2017-10-25 01:00";0;0;0;0;0;0;0;2
"2017-10-24 01:00";;;;;;;;
"2017-10-23 01:00";0;0;0;0;0;0;0;0
"2017-10-22 01:00";0;0;0;0;0;0;0;0
"2017-10-21 01:00";0;0;0;0;0;0;0;0
"2017-10-20 01:00";0;0;0;0;0;0;0;0
"2017-10-19 01:00";0;0;0;0;0;0;0;0
"2017-10-18 01:00";0;0;0;0;0;0;0;0
"2017-10-17 01:00";0;0;0;0;0;0;0;0
"2017-10-16 01:00";0;0;0;0;0;0;0;0
"2017-10-15 01:00";0;0;0;0;0;0;0;0
"2017-10-14 01:00";0;0;0;0;0;0;0;0
"2017-10-13 01:00";1;0;0;0;0;0;0;1
"2017-10-12 01:00";0;0;0;0;0;0;0;0
"2017-10-11 01:00";0;0;0;0;0;0;0;0
"2017-10-10 01:00";0;0;0;0;0;0;0;0
"2017-10-09 01:00";0;0;0;0;0;0;0;0
"2017-10-08 01:00";0;0;0;0;0;0;0;0
"2017-10-07 01:00";0;0;0;0;0;0;0;0
"2017-10-06 01:00";0;0;0;0;0;0;0;0
"2017-10-05 01:00";0;0;0;0;0;0;0;0
"2017-10-04 01:00";0;0;0;0;0;0;0;1
"2017-10-03 01:00";1;0;0;0;0;0;0;3
"2017-10-02 01:00";0;0;0;0;3;0;0;12
"2017-10-01 01:00";0;0;0;0;0;0;0;9
"2017-09-30 01:00";0;0;0;0;0;0;0;2
"2017-09-29 01:00";0;0;0;0;0;0;0;3
"2017-09-28 01:00";0;0;0;0;0;0;0;6
"2017-09-27 01:00";0;0;0;0;0;0;0;4
"2017-09-26 01:00";0;0;0;0;0;0;0;4
"2017-09-25 01:00";0;0;0;0;2;0;0;10
"2017-09-24 01:00";0;0;0;1;8;0;3;24
"2017-09-23 01:00";0;0;0;0;6;0;0;27
"2017-09-22 01:00";1;0;0;0;2;0;0;4
"2017-09-21 01:00";0;0;0;0;0;0;0;3
"2017-09-20 01:00";0;0;0;0;0;0;0;1
"2017-09-19 01:00";0;0;0;0;0;0;0;0
"2017-09-18 01:00";0;0;0;0;0;0;0;9
