date,Õhutemperatuur (°C) keskmine,Õhutemperatuur (°C) max,Õhutemperatuur (°C) min,Suhteline õhuniiskus (%) keskmine,Suhteline õhuniiskus (%) min,Tuule kiirus (m/s) keskmine,Tuule kiirus (m/s) max,Sademed (mm),Päikesepaiste kestus (h),Maksimaalne õhutemperatuur (°C),Minimaalne õhutemperatuur (°C),I pilvekiht hulk (okta),II pilvekiht hulk (okta),III pilvekiht hulk (okta),IV pilvekiht hulk (okta),Hetkeilm (sensor),Nähtavuskaugus (km),Puhang (m/s),Keskmine kiirus tunnis (m/s),10 minuti keskmine kiirus (m/s),10 minuti keskmine suund (°)
30.04.2016,8.3,14.5,0.1,64.0,39.0,1.8,5.7,0.0,14.6,14.4,13.3,0/8,0/8,0/8,0/8,nähtusteta,20.0,5.7,3.0,3.1,296.0
29.04.2016,8.1,15.0,1.7,66.0,37.0,3.1,10.5,0.0,9.5,11.6,10.8,2/8,7/8,0/8,0/8,nähtusteta,20.0,5.0,3.0,2.6,18.0
28.04.2016,8.1,12.6,4.0,80.0,70.0,4.0,10.0,11.1,2.6,9.9,9.1,8/8,0/8,0/8,0/8,nõrk vihm,10.9,3.8,1.9,1.0,322.0
27.04.2016,6.5,13.5,2.8,79.0,49.0,2.8,8.8,1.4,5.8,13.1,12.2,7/8,0/8,0/8,0/8,nähtusteta,20.0,7.6,3.5,3.5,156.0
26.04.2016,2.9,4.1,1.3,94.0,75.0,2.9,9.0,12.8,0.0,3.1,3.0,8/8,0/8,0/8,0/8,nõrk vihm,19.2,6.1,2.4,2.2,332.0
25.04.2016,4.4,9.4,1.5,81.0,65.0,3.5,9.7,2.7,6.2,7.3,5.6,7/8,0/8,0/8,0/8,nähtusteta,20.0,4.9,2.4,2.4,349.0
24.04.2016,1.4,5.7,-3.1,91.0,72.0,2.5,10.6,11.1,3.8,2.7,0.6,8/8,0/8,0/8,0/8,nõrk lumi,2.2,8.6,4.6,4.7,37.0
23.04.2016,2.9,5.9,1.0,90.0,79.0,1.8,6.8,0.0,5.8,4.4,3.3,5/8,0/8,0/8,0/8,nähtusteta,20.0,5.5,2.7,2.6,360.0
22.04.2016,5.1,9.5,2.8,76.0,56.0,1.9,10.7,0.0,9.5,7.4,5.3,1/8,7/8,0/8,0/8,nähtusteta,20.0,10.1,4.4,4.4,327.0
21.04.2016,4.8,9.5,1.3,64.0,30.0,3.2,9.7,0.0,8.8,8.6,7.7,7/8,0/8,0/8,0/8,nähtusteta,20.0,8.1,3.7,3.7,250.0
20.04.2016,4.1,6.5,1.8,87.0,76.0,2.8,9.6,3.3,2.8,5.9,5.5,1/8,8/8,0/8,0/8,nähtusteta,20.0,8.5,3.2,2.6,307.0
19.04.2016,6.3,9.4,4.3,83.0,64.0,3.7,12.5,5.6,3.6,8.1,7.2,7/8,0/8,0/8,0/8,nähtusteta,20.0,7.8,3.4,2.9,246.0
18.04.2016,5.6,8.2,4.0,88.0,75.0,4.3,12.6,2.0,1.4,8.2,7.3,7/8,0/8,0/8,0/8,nähtusteta,20.0,10.5,5.2,6.5,239.0
17.04.2016,8.1,11.5,5.9,86.0,74.0,3.6,8.4,5.9,0.5,9.9,9.6,8/8,0/8,0/8,0/8,nähtusteta,13.0,5.7,3.0,2.7,196.0
16.04.2016,8.3,15.5,1.0,56.0,33.0,3.7,11.1,0.0,8.6,13.9,13.6,7/8,0/8,0/8,0/8,nähtusteta,20.0,7.0,3.7,4.1,182.0
15.04.2016,3.4,8.7,-2.6,60.0,43.0,2.0,8.1,0.0,9.4,8.7,6.9,7/8,0/8,0/8,0/8,nähtusteta,20.0,5.4,2.6,2.2,281.0
14.04.2016,3.3,6.2,1.0,66.0,46.0,4.2,10.7,0.0,11.8,6.2,5.1,0/8,0/8,0/8,0/8,nähtusteta,20.0,5.9,3.6,3.7,29.0
13.04.2016,4.0,11.0,-3.5,67.0,34.0,2.1,7.9,0.0,13.2,10.6,9.9,0/8,0/8,0/8,0/8,nähtusteta,20.0,7.3,4.3,4.4,32.0
12.04.2016,3.2,9.2,-2.7,73.0,51.0,1.7,7.0,0.0,13.2,9.1,7.8,0/8,0/8,0/8,0/8,nähtusteta,20.0,4.6,2.6,2.6,18.0
11.04.2016,5.2,11.4,-2.1,65.0,30.0,2.7,10.1,0.0,13.2,10.5,9.8,0/8,0/8,0/8,0/8,nähtusteta,20.0,10.1,5.7,6.0,70.0
