Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),date,hour
-1.0,98.0,1001.5,1.2,29.0,1.3,2.2,,nõrk hooglumi,,0.1,6.7,01.01.2022,0
-0.6,99.0,1001.8,1.6,331.0,0.9,3.1,,nõrk hooglumi,,0.1,0.38,01.01.2022,1
0.0,99.0,1001.6,0.1,85.0,1.4,2.0,,nõrk lumi,,0.3,0.33,01.01.2022,2
-0.1,100.0,1002.0,0.5,45.0,1.0,2.5,,nõrk lumi,,0.4,0.44,01.01.2022,3
-0.1,100.0,1002.4,0.6,32.0,1.5,2.7,,nõrk lumi,,0.5,0.84,01.01.2022,4
-0.3,100.0,1003.0,1.4,29.0,1.9,3.3,,nõrk lumi,,0.3,11.5,01.01.2022,5
-0.4,99.0,1004.1,2.1,17.0,1.3,3.2,,nõrk lumi,,0.2,6.1,01.01.2022,6
-0.4,98.0,1005.3,2.9,11.0,2.9,5.8,,nõrk lumi,,0.2,13.0,01.01.2022,7
-1.3,93.0,1006.7,3.7,14.0,4.3,7.7,10.0,nõrk hooglumi,nähtusteta,0.0,34.6,01.01.2022,8
-2.8,88.0,1008.6,4.5,25.0,4.9,10.2,,lumi,,0.0,35.0,01.01.2022,9
-2.9,83.0,1010.1,4.8,18.0,3.4,8.5,,nähtusteta,,0.0,35.0,01.01.2022,10
-2.8,81.0,1011.7,5.0,359.0,3.6,8.4,,nähtusteta,,0.0,35.0,01.01.2022,11
-2.9,72.0,1012.9,4.3,3.0,3.2,9.6,,nähtusteta,,0.0,35.0,01.01.2022,12
-2.9,71.0,1014.2,4.1,348.0,2.7,7.5,,nähtusteta,,0.0,35.0,01.01.2022,13
-3.1,70.0,1015.1,3.4,349.0,2.7,6.7,,nähtusteta,,0.0,35.0,01.01.2022,14
-3.7,74.0,1016.5,3.6,342.0,3.0,6.5,,nähtusteta,,0.0,35.0,01.01.2022,15
-4.0,76.0,1017.5,3.3,332.0,2.7,6.5,,nähtusteta,,0.0,35.0,01.01.2022,16
-3.7,76.0,1018.2,3.1,341.0,3.1,7.3,,nähtusteta,,0.0,35.0,01.01.2022,17
-3.7,77.0,1018.9,2.4,331.0,2.2,7.8,,nähtusteta,,0.0,35.0,01.01.2022,18
-3.8,76.0,1019.3,1.8,349.0,2.9,6.9,,nähtusteta,,0.0,35.0,01.01.2022,19
-4.5,79.0,1020.2,2.0,337.0,2.0,5.5,1.0,nähtusteta,nähtusteta,0.0,35.0,01.01.2022,20
-5.0,83.0,1020.5,1.6,7.0,1.2,4.5,,nähtusteta,,0.0,35.0,01.01.2022,21
-9.1,94.0,1021.0,1.7,216.0,0.6,2.7,,nähtusteta,,0.0,35.0,01.01.2022,22
-7.9,93.0,1021.5,1.3,258.0,1.8,2.6,,nähtusteta,,0.0,35.0,01.01.2022,23
-10.5,92.0,1021.0,0.5,240.0,1.4,2.5,,nähtusteta,,0.0,35.0,02.01.2022,0
-11.7,91.0,1020.6,-0.4,227.0,1.6,2.3,,nähtusteta,,0.0,35.0,02.01.2022,1
-9.9,90.0,1020.1,-1.4,196.0,1.1,2.0,,nähtusteta,,0.0,35.0,02.01.2022,2
-9.2,91.0,1019.7,-1.3,223.0,1.4,2.2,,nähtusteta,,0.0,35.0,02.01.2022,3
-7.2,89.0,1019.0,-1.6,219.0,1.5,2.7,,nähtusteta,,0.0,35.0,02.01.2022,4
-6.6,88.0,1017.8,-2.3,196.0,1.9,3.2,,nähtusteta,,0.0,35.0,02.01.2022,5
-6.3,87.0,1016.9,-2.8,191.0,2.0,4.0,,nähtusteta,,0.0,35.0,02.01.2022,6
-6.2,87.0,1016.4,-2.6,191.0,2.2,4.3,,nähtusteta,,0.0,35.0,02.01.2022,7
-5.8,93.0,1015.4,-2.4,180.0,2.5,5.5,10.0,mõõdukas lumi,mõõdukas lumi,0.6,1.9,02.01.2022,8
-5.2,91.0,1013.8,-3.1,155.0,4.3,6.5,,nõrk lumi,,0.3,8.9,02.01.2022,9
-4.7,90.0,1012.6,-3.8,153.0,4.6,8.4,,nõrk lumi,,0.1,20.4,02.01.2022,10
-4.5,90.0,1011.6,-3.8,151.0,4.7,9.1,,nõrk lumi,,0.2,8.9,02.01.2022,11
-4.5,89.0,1010.0,-3.8,153.0,5.0,8.6,,jäätuv uduvihm,,0.0,26.2,02.01.2022,12
-4.2,84.0,1008.0,-4.6,146.0,5.6,10.2,,nähtusteta,,0.0,35.0,02.01.2022,13
-4.3,86.0,1006.3,-5.3,155.0,6.2,11.1,,nõrk lumi,,0.0,10.1,02.01.2022,14
-4.2,89.0,1005.1,-4.9,155.0,5.8,11.4,,nõrk lumi,,0.0,6.5,02.01.2022,15
-4.2,88.0,1003.6,-4.4,159.0,5.5,11.2,,nõrk lumi,,0.0,11.5,02.01.2022,16
-4.5,87.0,1002.6,-3.7,156.0,5.4,10.1,,nõrk lumi,,0.0,35.0,02.01.2022,17
-4.5,88.0,1001.2,-3.9,156.0,5.6,9.0,,lumi,,0.0,35.0,02.01.2022,18
-4.4,90.0,1000.6,-3.0,159.0,4.6,10.4,,nähtusteta,,0.0,35.0,02.01.2022,19
-4.4,92.0,999.7,-2.9,159.0,4.3,8.6,10.0,nähtusteta,nähtusteta,0.0,35.0,02.01.2022,20
-4.4,94.0,998.8,-2.4,155.0,4.0,8.3,,nähtusteta,,0.0,27.1,02.01.2022,21
-4.3,95.0,997.5,-3.1,147.0,4.1,7.8,,nõrk lumi,,0.0,1.7,02.01.2022,22
-4.1,92.0,996.6,-3.1,149.0,4.2,7.4,,nõrk lumi,,0.1,31.6,02.01.2022,23
-4.0,94.0,996.0,-2.8,167.0,3.7,7.5,,nõrk hooglumi,,0.0,3.8,03.01.2022,0
-3.8,95.0,995.3,-2.2,163.0,3.2,6.9,,nõrk hooglumi,,0.0,7.2,03.01.2022,1
-3.7,97.0,994.9,-1.7,163.0,2.9,6.3,,nõrk hooglumi,,0.0,4.0,03.01.2022,2
-3.5,96.0,994.3,-1.7,154.0,2.9,5.9,,jäätuv vihm,,0.0,15.2,03.01.2022,3
-3.4,96.0,994.0,-1.3,156.0,2.9,5.4,,nõrk lumi,,0.1,8.2,03.01.2022,4
-3.2,96.0,993.4,-1.5,164.0,3.1,5.7,,nõrk hooglumi,,0.1,3.7,03.01.2022,5
-2.9,97.0,993.1,-1.2,167.0,2.9,6.4,,jäätuv uduvihm,,0.2,5.3,03.01.2022,6
-2.7,97.0,992.9,-1.1,168.0,2.3,5.3,,jäätuv vihm,,0.2,10.8,03.01.2022,7
-2.6,97.0,992.7,-0.7,156.0,2.1,4.6,10.0,uduvine,uduvine,0.0,3.7,03.01.2022,8
-2.1,98.0,992.8,-0.3,171.0,2.0,4.0,,jäätuv uduvihm,,0.1,2.4,03.01.2022,9
-1.8,97.0,992.8,-0.1,171.0,1.9,3.8,,jäätuv vihm,,0.1,3.9,03.01.2022,10
-1.5,97.0,992.7,0.0,183.0,2.1,4.4,,nähtusteta,,0.0,14.5,03.01.2022,11
-1.2,97.0,992.7,-0.1,171.0,1.7,4.8,,uduvine,,0.0,9.9,03.01.2022,12
-1.1,98.0,992.5,-0.3,157.0,2.6,4.1,,uduvine,,0.0,4.9,03.01.2022,13
-0.8,99.0,992.5,-0.2,161.0,2.1,3.4,,nõrk hooglumi,,0.1,4.3,03.01.2022,14
-0.5,97.0,992.3,-0.4,159.0,2.3,3.6,,nõrk vihm,,0.4,7.4,03.01.2022,15
-0.3,98.0,992.4,-0.1,164.0,1.9,4.6,,nõrk vihm,,0.4,13.4,03.01.2022,16
-0.5,98.0,992.2,-0.3,171.0,1.7,3.2,,vihm,,0.0,3.2,03.01.2022,17
-0.5,99.0,992.2,-0.1,140.0,1.7,3.4,,nõrk hoogvihm,,0.1,3.7,03.01.2022,18
-0.5,98.0,992.1,-0.3,169.0,1.6,3.6,,uduvihm,,0.1,2.8,03.01.2022,19
-0.4,98.0,991.9,-0.3,149.0,1.8,3.4,10.0,nõrk hoogvihm,jäätuv uduvihm,0.1,10.5,03.01.2022,20
-0.4,99.0,991.9,-0.3,162.0,2.2,3.6,,sademed,,0.1,2.1,03.01.2022,21
-0.1,99.0,991.6,-0.5,175.0,1.1,3.1,,sademed,,0.1,1.3,03.01.2022,22
0.4,99.0,991.5,-0.4,201.0,1.6,3.5,,uduvine,,0.0,8.2,03.01.2022,23
0.3,99.0,991.5,-0.4,187.0,1.5,2.8,,nähtusteta,,0.0,13.1,04.01.2022,0
0.4,98.0,991.4,-0.2,188.0,1.9,3.3,,nähtusteta,,0.0,23.3,04.01.2022,1
0.5,99.0,991.2,-0.3,183.0,1.4,3.8,,nõrk hoogvihm,,0.0,18.6,04.01.2022,2
0.7,99.0,990.5,-1.0,156.0,2.7,3.9,,uduvine,,0.1,2.0,04.01.2022,3
0.7,100.0,990.1,-1.3,157.0,3.4,5.4,,vihm,,0.0,1.2,04.01.2022,4
0.8,100.0,989.5,-1.7,168.0,2.7,5.5,,udu,,0.1,1.4,04.01.2022,5
1.2,100.0,988.8,-1.7,165.0,3.1,5.3,,nõrk vihm,,0.0,1.2,04.01.2022,6
1.5,100.0,988.4,-1.7,171.0,3.3,6.4,,nõrk hoogvihm,,0.0,1.6,04.01.2022,7
1.6,100.0,988.2,-1.3,168.0,3.4,6.6,10.0,nõrk hoogvihm,nõrk hoogvihm,0.0,5.0,04.01.2022,8
2.0,99.0,987.9,-0.9,178.0,3.7,6.2,,nõrk hoogvihm,,0.0,5.6,04.01.2022,9
2.4,100.0,987.7,-0.7,183.0,3.4,7.2,,uduvine,,0.0,1.7,04.01.2022,10
